Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202400048167;21;5;2024;10:45;1;978;97801;2;1;1;7;R DE CONCORDIA;18,06575500; -63,07953200
202400034523;1;10;2024;20:30;5;56;56121;2;2;1;2;Cours Louis de Chazelles;47,75359000; -3,36226000
202400014701;2;8;2024;16:03;1;71;71290;1;1;1;6;Route de Clermain;46,38846700;4,61526600
202400019790;20;12;2024;13:10;1;49;49099;1;1;1;1;SARTHE (RUE DE LA);47,08696000; -0,85086000
202400006757;27;12;2024;23:50;5;44;44162;2;3;1;7;Boulevard Marcel Paul;47,23946221; -1,62791620
202400050218;26;10;2024;19:50;3;44;44081;1;1;1;5;1 la Nouette ;46,90744500; -1,55936100
202400022359;5;9;2024;00:30;5;75;75115;2;4;1;6;BOULEVARD PERIPHERIQUE INTERIEUR SUD;48,82606989;2,29887307
202400003956;27;11;2024;12:40;1;38;38276;2;1;1;6;D 1085;45,56425900;5,30343000
202400036402;8;11;2024;15:00;1;31;31377;1;3;1;2;RD 813 intersection RD 97B;43,41606800;1,69418500
202400044520;25;9;2024;15:45;1;75;75114;2;3;2;6;BOULEVARD DU MONTPARNASSE;48,84053800;2,33371700
202400035993;27;8;2024;23:00;5;92;92036;2;1;1;6;GRESILLONS (QUAI DES);48,92063164;2,32429314
202400020776;11;10;2024;07:30;1;92;92025;2;1;8;1;STALINGRAD (AV DE);48,93205847;2,26628289
202400051832;26;10;2024;07:00;3;94;94044;1;1;2;6;N406;48,75720257;2,47547507
202400048003;26;10;2024;22:45;3;61;61096;1;1;2;1;D848;48,53384200; -0,45996100
202400012209;11;9;2024;23:55;3;22;22360;1;1;1;6;ROND POINT DE BREZILLET;48,49335000; -2,76294000
202400014669;3;8;2024;13:00;1;94;94018;2;2;1;3;Rue Camille Mouquet;48,82376300;2,40749100
202400017209;11;3;2024;17:00;1;45;45147;2;3;1;3;23 Rue des Fosses;47,92507000;1,92212000
202400024798;26;6;2024;11:30;1;33;33318;2;2;1;3;;44,80767000; -0,66203000
