Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202400008036;203 969 670;155 767 664;A01;9;2;3;1;2003.0;5;1;-1;-1;0;0;-1
202400008036;203 969 672;155 767 664;A01;1;1;3;1;2001.0;5;1;-1;-1;0;0;-1
202400008041;203 969 649;155 767 651;A01;1;1;4;1;1994.0;5;2;0;-1;-1; -1;-1
202400008041;203 969 653;155 767 654;B01;1;1;4;1;1950.0;5;1;0;-1;-1; -1;-1
202400008043;203 969 646;155 767 648;A01;1;1;1;1;1975.0;9;1;0;-1;-1; -1;-1
202400008043;203 969 647;155 767 649;B01;1;1;4;1;1963.0;1;2;6;-1;-1; -1;-1
202400008075;203 969 521;155 767 594;A01;1;1;1;1;1997.0;5;2;6;-1;0;0;-1
202400008075;203 969 524;155 767 594;A01;10;3;4;2;1962.0;5;0;-1;-1;2;3;1
202400008090;203 969 487;155 767 565;A01;1;1;4;2;1994.0;1;8;0;-1;0;0;-1
202400008090;203 969 489;155 767 567;B01;1;1;1;2;1998.0;5;8;0;-1;0;0;-1
202400008114;203 969 427;155 767 517;A01;1;1;1;1;2002.0;1;1;0;-1;-1; -1;-1
202400008114;203 969 429;155 767 517;A01;10;3;4;2;1978.0;5;0;-1;-1;2;3;1
202400008146;203 969 356;155 767 467;A01;1;1;4;1;1950.0;5;2;6;-1;-1; -1;-1
202400008162;203 969 318;155 767 434;A01;1;1;4;1;1947.0;0;2;0;0;-1; -1;-1
202400008172;203 969 294;155 767 417;B01;1;1;4;2;1978.0;1;2;0;-1;-1; -1;-1
202400008172;203 969 298;155 767 417;B01;2;2;4;1;2009.0;1;2;0;-1;-1; -1;-1
202400008172;203 969 302;155 767 420;A01;1;1;1;-1;;-1;-1;-1;-1;-1; -1;-1
202400008179;203 969 272;155 767 405;B01;1;1;1;2;2001.0;2;1;0;0;-1; -1;-1
202400008179;203 969 274;155 767 406;A01;1;1;4;2;1994.0;1;2;6;0;-1; -1;-1
202400008181;203 969 268;155 767 402;A01;10;3;4;2;1976.0;5;0;0;0;4;3;1
202400008181;203 969 270;155 767 402;A01;1;1;1;2;1985.0;0;1;0;0;-1; -1;-1
202400008183;203 969 264;155 767 399;A01;1;1;4;2;1972.0;9;1;0;0;-1; -1;-1
202400008183;203 969 266;155 767 399;A01;2;2;1;1;1965.0;9;1;0;0;-1; -1;-1
202400008258;203 969 096;155 767 268;A01;1;1;4;1;2001.0;5;8;0;-1;-1; -1;-1
202400008258;203 969 100;155 767 271;B01;1;1;1;1;1973.0;0;1;0;-1;-1; -1;-1
